"Imagename","Anomaly Score"
"Image1","0"
"Image2","1"
"Image3","0"
"Image4","0"
"Image5","1"
"Image6","1"
"Image7","0"
"Image8","1"
"Image9","1"
"Image10","0"
"Image11","0"
"Image12","0"
"Image13","1"
"Image14","0"
"Image15","0"
"Image16","0"
"Image17","1"
"Image18","0"
"Image19","0"
"Image20","0"
"Image21","0"
"Image22","1"
"Image23","0"
"Image24","0"
"Image25","0"
"Image26","0"
"Image27","0"
"Image28","1"
"Image29","0"
"Image30","0"
"Image31","0"
"Image32","1"
"Image33","0"
"Image34","0"
"Image35","0"
"Image36","0"
"Image37","0"
"Image38","0"
"Image39","0"
"Image40","0"
"Image41","0"
"Image42","0"
"Image43","0"
"Image44","0"
"Image45","0"
"Image46","0"
"Image47","0"
"Image48","0"
"Image49","0"
"Image50","0"
"Image51","0"
"Image52","0"
"Image53","0"
"Image54","0"
"Image55","1"
"Image56","0"
"Image57","0"
"Image58","0"
"Image59","0"
"Image60","0"
"Image61","0"
"Image62","0"
"Image63","0"
"Image64","1"
"Image65","0"
"Image66","0"
"Image67","0"
"Image68","0"
"Image69","0"
"Image70","0"
"Image71","0"
"Image72","0"
"Image73","1"
"Image74","1"
"Image75","0"
"Image76","1"
"Image77","0"
"Image78","0"
"Image79","1"
"Image80","1"
"Image81","0"
"Image82","0"
"Image83","0"
"Image84","0"
"Image85","1"
"Image86","0"
"Image87","0"
"Image88","1"
"Image89","1"
"Image90","0"
"Image91","1"
"Image92","0"
"Image93","0"
"Image94","0"
"Image95","0"
"Image96","0"
"Image97","0"
"Image98","0"
"Image99","1"
"Image100","1"
"Image101","0"
"Image102","0"
"Image103","0"
"Image104","0"
"Image105","0"
"Image106","0"
"Image107","0"
"Image108","0"
"Image109","1"
"Image110","0"
"Image111","1"
"Image112","0"
"Image113","1"
"Image114","0"
"Image115","0"
"Image116","1"
"Image117","0"
"Image118","0"
"Image119","0"
"Image120","1"
"Image121","0"
"Image122","0"
"Image123","0"
"Image124","0"
"Image125","1"
"Image126","0"
"Image127","0"
"Image128","0"
"Image129","0"
"Image130","0"
"Image131","0"
"Image132","0"
"Image133","0"
"Image134","0"
"Image135","1"
"Image136","0"
"Image137","0"
"Image138","0"
"Image139","1"
"Image140","0"
"Image141","0"
"Image142","0"
"Image143","0"
"Image144","0"
"Image145","0"
"Image146","0"
"Image147","0"
"Image148","0"
"Image149","0"
"Image150","0"
"Image151","0"
"Image152","0"
"Image153","0"
"Image154","1"
"Image155","0"
"Image156","0"
"Image157","1"
"Image158","0"
"Image159","0"
"Image160","1"
"Image161","0"
"Image162","0"
"Image163","0"
"Image164","1"
"Image165","0"
"Image166","0"
"Image167","0"
"Image168","0"
"Image169","0"
"Image170","1"
"Image171","0"
"Image172","0"
"Image173","1"
"Image174","0"
"Image175","0"
"Image176","0"
"Image177","0"
"Image178","1"
"Image179","0"
"Image180","1"
"Image181","0"
"Image182","0"
"Image183","1"
"Image184","0"
"Image185","0"
"Image186","0"
"Image187","0"
"Image188","0"
"Image189","0"
"Image190","0"
"Image191","0"
"Image192","0"
"Image193","0"
"Image194","0"
"Image195","0"
"Image196","0"
"Image197","0"
"Image198","0"
"Image199","0"
"Image200","0"
"Image201","0"
"Image202","0"
"Image203","1"
"Image204","1"
"Image205","0"
"Image206","0"
"Image207","0"
"Image208","0"
"Image209","1"
"Image210","0"
"Image211","0"
"Image212","0"
"Image213","0"
"Image214","1"
"Image215","0"
"Image216","0"
"Image217","0"
"Image218","0"
"Image219","0"
"Image220","0"
"Image221","0"
"Image222","0"
"Image223","0"
"Image224","0"
"Image225","0"
"Image226","1"
"Image227","0"
"Image228","0"
"Image229","0"
"Image230","0"
"Image231","0"
"Image232","0"
"Image233","0"
"Image234","0"
"Image235","0"
"Image236","0"
"Image237","0"
"Image238","0"
"Image239","1"
"Image240","0"
"Image241","0"
"Image242","0"
"Image243","0"
"Image244","0"
"Image245","1"
"Image246","1"
"Image247","0"
"Image248","0"
"Image249","1"
"Image250","0"
"Image251","0"
"Image252","0"
"Image253","1"
"Image254","0"
"Image255","0"
"Image256","1"
"Image257","0"
"Image258","0"
"Image259","0"
"Image260","0"
"Image261","0"
"Image262","0"
"Image263","0"
"Image264","0"
"Image265","0"
"Image266","1"
"Image267","0"
"Image268","1"
"Image269","0"
"Image270","1"
"Image271","0"
"Image272","0"
"Image273","1"
"Image274","0"
"Image275","0"
"Image276","0"
"Image277","0"
"Image278","0"
"Image279","0"
"Image280","0"
"Image281","0"
"Image282","0"
"Image283","0"
"Image284","0"
"Image285","0"
"Image286","1"
"Image287","0"
"Image288","0"
"Image289","1"
"Image290","0"
"Image291","1"
"Image292","0"
"Image293","0"
"Image294","0"
"Image295","0"
"Image296","0"
"Image297","1"
"Image298","0"
"Image299","0"
"Image300","0"
"Image301","1"
"Image302","0"
"Image303","0"
"Image304","0"
"Image305","0"
"Image306","0"
"Image307","1"
"Image308","0"
"Image309","0"
"Image310","0"
"Image311","0"
"Image312","1"
"Image313","0"
"Image314","0"
"Image315","0"
"Image316","1"
"Image317","0"
"Image318","1"
"Image319","0"
"Image320","0"
"Image321","0"
"Image322","0"
"Image323","0"
"Image324","0"
"Image325","1"
"Image326","0"
"Image327","0"
"Image328","0"
"Image329","0"
"Image330","0"
"Image331","0"
