"Imagename","att1","att2","att3","att4","att5","att6","att7","att8","att9","att10","att11","att12","att13","att14","att15","att16","att17","att18","att19","att20","att21","att22","att23","att24","att25","att26","att27","att28","att29","att30","att31","att32","att33","att34","att35","att36","att37","att38","att39","att40","att41","att42","att43","att44","att45","att46","att47","att48","att49","att50","att51","att52","att53","att54","att55","att56","att57","att58","att59","att60","att61","att62","att63","att64","att65","att66","att67","att68","att69","att70","att71","att72","att73","att74","att75","att76","att77","att78","att79","att80","att81","att82","att83","att84","att85","att86","att87","att88","att89","att90","att91","att92","att93","att94","att95","att96","att97","att98","att99","att100"
"Image1","0","1","1","0","1","1","1","0","1","1","1","0","0","1","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","1","0","0","1","1","0","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","1","1","0","0","1","0","0","0","0","1","1","1","0","0","1","1","0","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","0"
"Image2","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","1","0","0","1","1","0","0","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","1","1","1","1","0","0","1","0","0","1","1","1","0","0","1","1","1","0","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","0"
"Image3","1","1","1","0","0","0","0","0","1","1","1","0","1","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","1","1","0","1","0","1","0","1","1","0","0","1","1","1","0","1","0","0","1","1","0","1","1","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","1","1","0","1","0","0","0","0","1","1","1","0","1","1","1"
"Image4","0","0","1","1","0","0","0","0","1","0","1","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0","1","0","1","1","0","1","1","0","0","1","0","0","0","0","1","1","0","1","0","1","1","0","1","1","1","0","1","0","0","1","0","1","1","0","0","0","0","0","1","0","1","1","0","1","0","0","1","0","0","0","1","1","1","1","0","0","0","0","1","1","1","0","0"
"Image5","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","1","1","0","1","1","1","0","0","1","0","0","0","0","0","1","1","1","0","1","0","1"
"Image6","1","0","0","1","1","1","1","1","1","0","1","1","1","0","0","1","0","0","1","0","1","0","0","1","0","0","1","0","1","1","1","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","0","1","1","0","1","1","0","0","1","0","1","0","1","1","0","0","0","1","0","1","1","1","0","0","1","0","0","1","0","0","1","1","0","1","0","1","1","0","1","0","0","0","1","1","1","1","1","0","0","1","0","1","0","1"
"Image7","1","0","1","1","1","0","0","0","0","1","1","0","1","1","0","0","1","0","1","1","0","1","0","1","1","0","1","0","1","1","0","0","0","0","1","0","1","0","1","0","0","1","0","1","1","1","1","0","0","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","1","1","1","0","1","1","0","1","0","0","1","0","1","0","1","1","0","0","0","1","0","1","1","1","0","1","0","1","0","1","0","0","1"
"Image8","1","0","0","0","1","1","0","1","0","1","0","1","0","0","0","1","1","1","1","1","0","1","0","0","0","1","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","0","1","1","1","0","0","1","0","1","1","1","1","0","0","1","0","1","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","1","1","0","1","1","0","0","1","1","0","0","1","0","1","0","1"
"Image9","0","1","1","0","1","1","1","0","1","0","1","1","1","0","0","0","1","1","1","1","0","1","0","1","1","0","0","0","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","1","0","1","0","1","1","1","0","0","0","0","0","1","0","0","1","1","1","0","1","1","0","0","1","1","1","1","0","0","0","1","0","1","1","0","1","0","1","1","0","0","1","1","0"
"Image10","0","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","1","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","0","1","0","1","1","1","1","0","1","1","0","0","1","1","0","0","1","0","1","1","0","0","0","1","0","1","0","1","1","0","1","0","0","0","1","1","0"
